Date,Open,High,Low,Close,Volume
2026-03-02,100.20,101.50,99.80,101.10,1203400
2026-03-03,101.10,102.30,100.70,101.95,1189200
2026-03-04,101.95,103.10,101.20,102.80,1256100
2026-03-05,102.80,103.40,101.90,102.10,1104500
2026-03-06,102.10,104.00,101.80,103.75,1312400
2026-03-09,103.75,104.60,103.10,104.20,1287300
2026-03-10,104.20,105.10,103.60,104.85,1349800
2026-03-11,104.85,105.40,103.90,104.10,1215600
2026-03-12,104.10,106.00,103.80,105.70,1462200
2026-03-13,105.70,106.20,104.90,105.25,1398700
2026-03-16,105.25,106.80,104.70,106.10,1514300
2026-03-17,106.10,107.20,105.80,106.95,1572000
